[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000543s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000628s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Tag[ view_template ] --START--
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Run LocationTemplate Behavior [ RunTime:0.000531s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Tag[ view_template ] --END-- [ RunTime:0.000618s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Tag[ view_parse ] --START--
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | NOTIC: [8] Undefined variable: title 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 5 行.
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | NOTIC: [8] Undefined variable: usename 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 33 行.
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Run ParseTemplate Behavior [ RunTime:0.012996s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013080s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Tag[ view_filter ] --START--
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Run ContentReplace Behavior [ RunTime:0.000491s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Run TokenBuild Behavior [ RunTime:0.000576s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000254s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Run ShowRuntime Behavior [ RunTime:0.000531s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002086s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Tag[ view_end ] --START--
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Run ShowPageTrace Behavior [ RunTime:0.000447s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Tag[ view_end ] --END-- [ RunTime:0.000530s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.001254s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.001465s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000922s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001083s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
